gentst_err,VPMU,VAFG,pattern,pir_sha,VPCU,VPMU-alloc,VPCU-split,runhybrid_err,freq,runhybrid_wbw,runhybrid_rbw,algo,OPS-Fix,col,runp2p_dram_power,PCU,mergeTime_ms,spatial_sha,maketst_time,pirArgs,runhybrid_complete,OPS-All,slink,VBB-alloc,OPS-Flt,DAG_Total,VPMU-split,VAFG-split,maketst_err,PMU_Total,runproute_time,OPS-Prog FU,runp2p_wbw,OPS-FU,VPCU-alloc,DAG,runp2p_err,maxActive,runp2p_success,runhybrid_deadlock,runp2p_cycle,MC,PCU_Total,app,runhybrid_dram_power,prtime,genpir_err,runproute_err,genpir,runp2p_pass,succeeded,OPS-Other,project,VAFG-alloc,MC_Total,runhybrid_time,VBB-split,runp2p_deadlock,VMC,vcLimit,avgActive,runhybrid_pass,runp2p_time,runhybrid_success,VMC-split,row,gentst_time,VDAG-split,vlink,runhybrid_cycle,simfreq,runp2p_complete,runp2p_rbw,notFit,VDAG-alloc,backend,PMU,VDAG,time,VMC-alloc
,,1,,170c1505,24,,73,,1000000000.0,,,,,20,,10,21606191.724749,7f5b887d,3:52.42,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",False,,,,,40,,1,,200,,,55.7616,,73,1,,28.484005563282338,True,False,61115,12,200,DRAMMergeSort_4,,,,,True,,True,,pirTest,1,40,,,False,12,,9.299185442360454,,0:14.09,False,12,20,21695.190705568,0,,,4.34kHz,True,55.7616,,0,Tst,13,0,2020-01-09 18:14:56 -0800,12
,,1,,170c1505,21,,66,,1000000000.0,,,,,20,,8,19759022.118648,7f5b887d,4:36.80,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",False,,,,,40,,1,,200,,,48.0193,,61,1,,42.87433924739624,True,False,38214,10,200,DRAMMergeSort_5,,,,,True,,True,,pirTest,1,40,,,False,10,,8.429016894669576,,0:11.81,False,10,20,19836.93163307,0,,,3.24kHz,True,48.0193,,0,Tst,12,0,2020-01-09 18:14:56 -0800,10
,,1,,170c1505,18,,55,,1000000000.0,,,,,20,,7,10213676.461918,7f5b887d,3:31.58,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",False,,,,,40,,1,,200,,,54.3859,,55,0,,35.58832447614944,True,False,62661,9,200,DRAMMergeSort_6,,,,,True,,True,,pirTest,1,40,,,False,9,,11.52506698300733,,0:15.69,False,9,20,10284.814809646,0,,,3.99kHz,True,54.3859,,0,Tst,11,0,2020-01-09 18:14:56 -0800,9
,,,,170c1505,,,162,,1000000000.0,,,,,20,,,,7f5b887d,,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",False,,,,,,,1,,,,,,,151,,,,False,False,,,,DRAMMergeSort_7,,,,,True,,False,,pirTest,1,,,,False,,,,,,False,25,20,,0,,,,False,,,0,Tst,,,2020-01-09 18:14:56 -0800,25
,2,1,,170c1505,2,2,4,,1000000000.0,,,,,20,,0,1472.96826,7f5b887d,0:41.97,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",False,,,,,40,2,1,,200,,,0.0,,4,1,,46.715328467153284,True,False,137,2,200,DotProduct_0,,,,,True,True,True,,pirTest,1,40,,,False,2,,37.71289537712895,,0:00.53,False,2,20,19.898378798,0,,,0.26kHz,True,59.7956,,0,Tst,3,0,2020-01-09 18:14:56 -0800,2
,2,1,,170c1505,2,2,4,,1000000000.0,,,,,20,,1,1405.751816,7f5b887d,0:40.91,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",False,,,,,40,2,1,,200,,,0.0,,4,1,,91.59212880143113,True,False,1118,2,200,DotProduct_1,,,,,True,True,True,,pirTest,1,40,,,False,2,,59.50677229746998,,0:00.49,False,2,20,19.190172775,0,,,2.28kHz,True,7.32737,,0,Tst,2,0,2020-01-09 18:14:56 -0800,2
,3,1,,170c1505,3,4,7,,1000000000.0,,,,,20,,2,3238.700497,7f5b887d,1:20.43,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",False,,,,,40,4,1,,200,,,0.0,,7,0,,84.07224958949097,True,False,609,4,200,DotProduct_2,,,,,True,True,True,,pirTest,1,40,,,False,4,,61.07060755336617,,0:00.62,False,4,20,42.350855059,0,,,0.98kHz,True,13.4516,,0,Tst,4,0,2020-01-09 18:14:56 -0800,4
,4,1,,170c1505,5,4,7,,1000000000.0,,,,,20,,1,1181.499303,7f5b887d,1:00.99,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",False,,,,,40,4,1,,200,,,0.0,,7,3,,25.806451612903224,True,False,124,4,200,DotProduct_3,,,,,True,True,True,,pirTest,1,40,,,False,4,,22.33626588465298,,0:00.62,False,4,20,24.098184758,0,,,0.2kHz,True,66.0645,,0,Tst,5,0,2020-01-09 18:14:56 -0800,4
,16,1,,170c1505,14,16,26,,1000000000.0,,,,,20,,5,8318.221719,7f5b887d,2:29.93,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",False,,,,,40,16,1,,200,,,0.0,,25,2,,5.0,True,False,160,16,200,DotProduct_4,,,,,True,True,True,,pirTest,1,40,,,False,16,,4.566532258064516,,0:00.48,False,16,20,77.916014583,0,,,0.33kHz,True,51.2,,0,Tst,23,0,2020-01-09 18:14:56 -0800,16
,6,1,,170c1505,9,6,14,,1000000000.0,,,,,20,,5,3536.575825,7f5b887d,1:28.88,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",False,,,,,40,6,1,,200,,,0.0,,12,1,,15.942028985507246,True,False,138,6,200,DotProduct_5,,,,,True,True,True,,pirTest,1,40,,,False,6,,14.217391304347826,,0:00.60,False,6,20,44.435952006,0,,,0.23kHz,True,59.3623,,0,Tst,9,0,2020-01-09 18:14:56 -0800,6
