spatial_sha,pir_sha,time,app,project,backend,freq,runproute,proutesh,prouteSummary,AccelMain,logpath,gentst,resreport,maketst,runp2p,runhybrid,genpir,genpir_err,gentst_err,gentst_time,notFit,row,col,MC,DAG,PMU,PCU,MC_Total,DAG_Total,PMU_Total,PCU_Total,algo,pattern,slink,vlink,prtime,vcLimit,runproute_err,runproute_time,DynHopsVec,DynHopsScal,StatHopsVec,StatHopsScal,Score,NetVC,TotPkts,LinkLim,InjectLim,EjectLim,LongRoute,Q0Pct,Q0Lim,maketst_err,maketst_time,runp2p_cycle,runp2p_err,runp2p_pass,runp2p_deadlock,runp2p_complete,runp2p_dram_power,runp2p_rbw,runp2p_wbw,runp2p_time,runhybrid_cycle,runhybrid_err,runhybrid_pass,runhybrid_deadlock,runhybrid_complete,runhybrid_dram_power,runhybrid_rbw,runhybrid_wbw,runhybrid_time,succeeded
9c71e7bf,a38d161e,2019-07-25 19:44:44,DotProduct_4,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_4/log/runproute.log,../gen/Tst_pirTest/DotProduct_4/log/runproute.sh,../gen/Tst_pirTest/DotProduct_4/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_4/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_4/log/,../gen/Tst_pirTest/DotProduct_4/log/gentst.log,../gen/Tst_pirTest/DotProduct_4/pir/out/resource.csv,../gen/Tst_pirTest/DotProduct_4/log/maketst.log,../gen/Tst_pirTest/DotProduct_4/log/runp2p.log,../gen/Tst_pirTest/DotProduct_4/log/runhybrid.log,True,,,29.957403596,,18,18,16,16,16,11,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,8:40.80,79,0,449,1232,352.42,3,457,0.3750,0.8750,0.1250,17,42.86,0.1250,,1:05.71,250,,True,False,True,,32.768,0.0,0:00.28,,"Assertion fail:
",True,False,False,,0.0,0.0,0:00.60,True
9c71e7bf,a38d161e,2019-07-25 19:44:44,DotProduct_5,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/DotProduct_5/log/runproute.log,../gen/Tst_pirTest/DotProduct_5/log/runproute.sh,../gen/Tst_pirTest/DotProduct_5/plastisim/summary.csv,../gen/Tst_pirTest/DotProduct_5/pir/AccelMain.scala,../gen/Tst_pirTest/DotProduct_5/log/,../gen/Tst_pirTest/DotProduct_5/log/gentst.log,../gen/Tst_pirTest/DotProduct_5/pir/out/resource.csv,../gen/Tst_pirTest/DotProduct_5/log/maketst.log,../gen/Tst_pirTest/DotProduct_5/log/runp2p.log,../gen/Tst_pirTest/DotProduct_5/log/runhybrid.log,True,,,13.003588117,,18,18,6,6,6,4,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,2:53.41,0,0,269,682,6.00,0,436,0.0000,0.0000,0.0000,12,-nan,0.0000,,0:30.75,246,,True,False,True,,34.3415,0.0,0:00.18,441,,True,False,True,,19.1565,0.0,0:01.41,True
9c71e7bf,a38d161e,2019-07-25 19:44:44,GDA_0,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_0/log/runproute.log,../gen/Tst_pirTest/GDA_0/log/runproute.sh,../gen/Tst_pirTest/GDA_0/plastisim/summary.csv,../gen/Tst_pirTest/GDA_0/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_0/log/,../gen/Tst_pirTest/GDA_0/log/gentst.log,../gen/Tst_pirTest/GDA_0/pir/out/resource.csv,../gen/Tst_pirTest/GDA_0/log/maketst.log,../gen/Tst_pirTest/GDA_0/log/runp2p.log,../gen/Tst_pirTest/GDA_0/log/runhybrid.log,True,,,15.868845957,,18,18,5,5,11,6,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,2:37.54,0,0,3379,3992672,5.50,0,1861548,0.0000,0.0000,0.0000,11,-nan,0.0000,,0:46.89,272404,,True,False,True,,0.488686,0.240584,0:31.90,678118,,True,False,True,,0.196308,0.0966439,32:08.14,True
9c71e7bf,a38d161e,2019-07-25 19:44:44,GDA_1,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_1/log/runproute.log,../gen/Tst_pirTest/GDA_1/log/runproute.sh,../gen/Tst_pirTest/GDA_1/plastisim/summary.csv,../gen/Tst_pirTest/GDA_1/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_1/log/,../gen/Tst_pirTest/GDA_1/log/gentst.log,../gen/Tst_pirTest/GDA_1/pir/out/resource.csv,../gen/Tst_pirTest/GDA_1/log/maketst.log,../gen/Tst_pirTest/GDA_1/log/runp2p.log,../gen/Tst_pirTest/GDA_1/log/runhybrid.log,True,,,15.443805723,,18,18,5,5,11,6,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,2:51.18,0,0,499,65240,5.50,0,30516,0.0000,0.0000,0.0000,11,-nan,0.0000,,0:38.03,5877,,True,False,True,,1.48103,0.696954,0:00.82,14353,,True,False,True,,0.606424,0.285376,0:35.23,True
9c71e7bf,a38d161e,2019-07-25 19:44:44,GDA_14,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_14/log/runproute.log,../gen/Tst_pirTest/GDA_14/log/runproute.sh,../gen/Tst_pirTest/GDA_14/plastisim/summary.csv,../gen/Tst_pirTest/GDA_14/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_14/log/,../gen/Tst_pirTest/GDA_14/log/gentst.log,../gen/Tst_pirTest/GDA_14/pir/out/resource.csv,../gen/Tst_pirTest/GDA_14/log/maketst.log,../gen/Tst_pirTest/GDA_14/log/runp2p.log,../gen/Tst_pirTest/GDA_14/log/runhybrid.log,True,,,36.605741432,,18,18,5,6,17,26,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,4:59.91,0,0,1055043,9613528,6.00,0,5295020,0.0000,0.0000,0.0000,12,-nan,0.0000,,1:28.50,399455,,True,False,True,,0.333254,0.164064,1:59.20,688701,,True,False,True,,0.193291,0.0951589,28:05.97,True
9c71e7bf,a38d161e,2019-07-25 19:44:44,GDA_2,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_2/log/runproute.log,../gen/Tst_pirTest/GDA_2/log/runproute.sh,../gen/Tst_pirTest/GDA_2/plastisim/summary.csv,../gen/Tst_pirTest/GDA_2/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_2/log/,../gen/Tst_pirTest/GDA_2/log/gentst.log,../gen/Tst_pirTest/GDA_2/pir/out/resource.csv,../gen/Tst_pirTest/GDA_2/log/maketst.log,../gen/Tst_pirTest/GDA_2/log/runp2p.log,../gen/Tst_pirTest/GDA_2/log/runhybrid.log,True,,,23.018777982,,18,18,5,6,15,12,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,3:39.93,0,0,959,39070,5.50,0,25972,0.0000,0.0000,0.0000,11,-nan,0.0000,,1:02.64,3201,,True,False,True,,2.71915,1.2796,0:00.82,8108,,True,False,True,,1.07351,0.50518,0:34.11,True
9c71e7bf,a38d161e,2019-07-25 19:44:44,GDA_3,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_3/log/runproute.log,../gen/Tst_pirTest/GDA_3/log/runproute.sh,../gen/Tst_pirTest/GDA_3/plastisim/summary.csv,../gen/Tst_pirTest/GDA_3/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_3/log/,../gen/Tst_pirTest/GDA_3/log/gentst.log,../gen/Tst_pirTest/GDA_3/pir/out/resource.csv,../gen/Tst_pirTest/GDA_3/log/maketst.log,../gen/Tst_pirTest/GDA_3/log/runp2p.log,../gen/Tst_pirTest/GDA_3/log/runhybrid.log,True,,,22.918264097,,18,18,5,6,12,11,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,3:13.27,0,0,8480,128758,6.00,0,77620,0.0000,0.0000,0.0000,12,-nan,0.0000,,0:53.71,13546,,True,False,True,,0.642551,0.302377,0:01.87,21261,,True,False,True,,0.409388,0.192653,1:05.80,True
9c71e7bf,a38d161e,2019-07-25 19:44:44,GDA_4,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_4/log/runproute.log,../gen/Tst_pirTest/GDA_4/log/runproute.sh,../gen/Tst_pirTest/GDA_4/plastisim/summary.csv,../gen/Tst_pirTest/GDA_4/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_4/log/,../gen/Tst_pirTest/GDA_4/log/gentst.log,../gen/Tst_pirTest/GDA_4/pir/out/resource.csv,../gen/Tst_pirTest/GDA_4/log/maketst.log,../gen/Tst_pirTest/GDA_4/log/runp2p.log,../gen/Tst_pirTest/GDA_4/log/runhybrid.log,True,,,37.405812944,,18,18,5,6,17,26,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,4:34.48,0,0,20903,164818,5.50,0,85364,0.0000,0.0000,0.0000,11,-nan,0.0000,,1:18.59,6945,,True,False,True,,1.25328,0.589777,0:02.19,11942,,True,False,True,,0.728856,0.342991,0:14.68,True
9c71e7bf,a38d161e,2019-07-25 19:44:44,GDA_5,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_5/log/runproute.log,../gen/Tst_pirTest/GDA_5/log/runproute.sh,../gen/Tst_pirTest/GDA_5/plastisim/summary.csv,../gen/Tst_pirTest/GDA_5/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_5/log/,../gen/Tst_pirTest/GDA_5/log/gentst.log,../gen/Tst_pirTest/GDA_5/pir/out/resource.csv,../gen/Tst_pirTest/GDA_5/log/maketst.log,../gen/Tst_pirTest/GDA_5/log/runp2p.log,../gen/Tst_pirTest/GDA_5/log/runhybrid.log,True,,,19.88310074,,18,18,5,6,11,11,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,3:16.21,0,0,25121,223196,5.50,0,122236,0.0000,0.0000,0.0000,11,-nan,0.0000,,0:49.38,26269,,True,False,True,,0.331341,0.155925,0:03.55,49202,,True,False,True,,0.176903,0.0832486,2:15.71,True
9c71e7bf,a38d161e,2019-07-25 19:44:44,GDA_6,pirTest,Tst,1000000000.0,../gen/Tst_pirTest/GDA_6/log/runproute.log,../gen/Tst_pirTest/GDA_6/log/runproute.sh,../gen/Tst_pirTest/GDA_6/plastisim/summary.csv,../gen/Tst_pirTest/GDA_6/pir/AccelMain.scala,../gen/Tst_pirTest/GDA_6/log/,../gen/Tst_pirTest/GDA_6/log/gentst.log,../gen/Tst_pirTest/GDA_6/pir/out/resource.csv,../gen/Tst_pirTest/GDA_6/log/maketst.log,../gen/Tst_pirTest/GDA_6/log/runp2p.log,../gen/Tst_pirTest/GDA_6/log/runhybrid.log,True,,,37.556913742,,18,18,5,6,14,26,36,36,162,162,route_min_directed_valient,checkerboard,4,3,-1,4,,4:45.44,0,0,1574196,19134560,6.00,0,10250156,0.0000,0.0000,0.0000,12,-nan,0.0000,,1:08.66,793138,,True,False,True,,0.16784,0.0826287,3:39.84,1352448,,True,False,True,,0.0984289,0.0484573,36:28.71,True
