VPMU-split,runp2p_rbw,genpir,runp2p_complete,VBB-split,PCU,runhybrid_complete,vcLimit,runhybrid_deadlock,OPS-Prog FU,OPS-Other,VAFG-split,genpir_err,runp2p_wbw,DAG,app,VMC-alloc,VPCU-split,time,PCU_Total,pattern,OPS-FU,VPCU,OPS-Fix,runhybrid_err,runproute_err,runhybrid_cycle,runhybrid_pass,OPS-All,runp2p_cycle,VDAG,runp2p_time,col,runp2p_success,runp2p_pass,simfreq,PMU,maketst_time,pir_sha,runhybrid_time,MC,PMU_Total,VMC-split,runhybrid_dram_power,gentst_time,VMC,slink,DAG_Total,maxActive,freq,project,gentst_err,notFit,mergeTime_ms,VAFG,succeeded,runhybrid_rbw,algo,runhybrid_wbw,runp2p_err,MC_Total,OPS-Flt,runproute_time,prtime,maketst_err,runp2p_deadlock,vlink,spatial_sha,VBB-alloc,runp2p_dram_power,VPMU,pirArgs,VPCU-alloc,VAFG-alloc,VDAG-split,VDAG-alloc,row,avgActive,runhybrid_success,VPMU-alloc,backend
,2.76757,True,True,,1,False,,False,,,1,,2.76757,0,DRAMDoubleBuffer2_4,6,23,2020-01-10 18:13:08 -0800,200,,,9,,,,,,,370,0,0:00.53,20,True,True,0.7kHz,8,1:29.58,b65b1a6c,,6,200,6,,60.089258713,6,,40,2.1621621621621623,1000000000.0,pirTest,,,16026.946308,1,True,,,,,40,,,,,False,,7f5b887d,,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",23,1,0,0,20,2.0108108108108107,False,,Tst
,2.28062,True,True,,0,False,,False,,,1,,2.28062,2,DRAMDoubleBuffer_0,4,13,2020-01-10 18:13:08 -0800,200,,,5,,,,,,,449,0,0:00.47,20,True,True,0.96kHz,3,0:49.42,b65b1a6c,,4,200,4,,22.641989224,4,,40,57.01559020044544,1000000000.0,pirTest,,,2823.94315,1,True,,,,,40,,,,,False,,7f5b887d,,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",13,1,0,0,20,16.184112843355607,False,,Tst
,4.17959,True,True,,0,False,,False,,,1,,4.17959,0,DRAMDoubleBuffer_1,4,11,2020-01-10 18:13:08 -0800,200,,,4,,,,,,,245,0,0:00.53,20,True,True,0.46kHz,4,0:42.69,b65b1a6c,,4,200,4,,19.415216564,4,,40,6.530612244897959,1000000000.0,pirTest,,,2170.972151,1,True,,,,,40,,,,,False,,7f5b887d,,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",11,1,0,0,20,3.579277864992151,False,,Tst
,4.28452,True,True,,1,False,,False,,,1,,4.28452,3,DRAMDoubleBuffer_2,8,22,2020-01-10 18:13:08 -0800,200,,,8,,,,,,,239,0,0:00.58,20,True,True,0.41kHz,4,2:04.92,b65b1a6c,,8,200,8,,45.349964274,8,,40,3.3472803347280333,1000000000.0,pirTest,,,13419.554073,1,True,,,,,40,,,,,False,,7f5b887d,,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",22,1,0,0,20,1.9874476987447698,False,,Tst
,4.30252,True,True,,4,False,,False,,,1,,4.30252,0,DRAMDoubleBuffer_3,12,37,2020-01-10 18:13:08 -0800,200,,,14,,,,,,,238,0,0:00.63,20,True,True,0.38kHz,10,2:04.30,b65b1a6c,,12,200,12,,529.401280625,12,,40,3.361344537815126,1000000000.0,pirTest,,,484010.436092,1,True,,,,,40,,,,,False,,7f5b887d,,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",37,1,0,0,20,2.0038784744667097,False,,Tst
,,True,False,,,False,,False,,,1,,,,DRAMMergeSort_0,3,19,2020-01-10 18:13:08 -0800,,,,,,,,,,,,,,20,False,,,,,b65b1a6c,,,,3,,,,,,,1000000000.0,pirTest,,,,,False,,,,,,,,,,False,,7f5b887d,,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",19,1,0,0,20,,False,,Tst
,,True,False,,3,False,,False,,,1,,,0,DRAMMergeSort_1,3,19,2020-01-10 18:13:08 -0800,200,,,7,,,,,,,,0,,20,False,,,4,,b65b1a6c,,3,200,3,,,3,,40,,1000000000.0,pirTest,,,,1,False,,,,,40,,,,,False,,7f5b887d,,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",19,1,0,0,20,,False,,Tst
,45.2128,True,True,,4,False,,False,,,1,,45.2128,1,DRAMMergeSort_2,6,37,2020-01-10 18:13:08 -0800,200,,,12,,,,,,,75374,0,0:14.16,20,True,,5.32kHz,7,2:39.76,b65b1a6c,,6,200,6,,701.552283274,6,,40,38.03964231697933,1000000000.0,pirTest,,,645668.645416,1,True,,,,,40,,,,,False,,7f5b887d,,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",37,1,0,0,20,12.264283547484652,False,,Tst
,52.8836,True,True,,8,False,,False,,,1,,52.8836,0,DRAMMergeSort_3,9,55,2020-01-10 18:13:08 -0800,200,,,18,,,,,,,64441,0,0:17.37,20,True,,3.71kHz,10,3:41.02,b65b1a6c,,9,200,9,,7156.661894471,9,,40,34.60529786936888,1000000000.0,pirTest,,,7094047.440953,1,True,,,,,40,,,,,False,,7f5b887d,,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",55,1,0,0,20,11.206719669499577,False,,Tst
,55.3558,True,True,,10,False,,False,,,1,,55.3558,1,DRAMMergeSort_4,12,73,2020-01-10 18:13:08 -0800,200,,,24,,,,,,,61563,0,0:15.14,20,True,,4.07kHz,13,3:26.17,b65b1a6c,,12,200,12,,30457.951998754,12,,40,28.276724656043402,1000000000.0,pirTest,,,30363816.563734,1,True,,,,,40,,,,,False,,7f5b887d,,,,"--dot=true, --stat=true, --debug=true, --vdot=true, --mapping=true, --codegen=true, --net=hybrid, --tungsten, --psim=false, --row=20, --col=20, --spatial-home=/local/ssd/home/yaqiz/spatial_part, --save=false, --dot=false, --debug=false, --merge, --merge-algo=gurobi, --split-thread=5, --debug=true",73,1,0,0,20,9.231514356185683,False,,Tst
