sim_scalar,packet_rate,buffer_size,flit_data_width,num_message_classes,num_nodes_per_router,explicit_pipeline_register,synthesis area (um^2),synthesis slack (ns),flit energy (J)
0,100,16,256,4,1,0,67260.958986,0.0,1.0332423064804119e-11
1,100,16,256,4,1,0,67260.958986,0.0,6.0172250813990125e-12
0,100,16,256,8,1,0,71524.672961,0.0,1.1146993318485525e-11
1,100,16,256,8,1,0,71524.672961,0.0,7.158598054155433e-12
0,100,32,256,8,1,0,127011.454125,0.0,1.4651186475201144e-11
1,100,32,256,8,1,0,127011.454125,0.0,7.649964354822285e-12
0,100,2,512,1,1,0,28945.56558,0.01,1.4949214026602176e-11
1,100,2,512,1,1,0,28945.56558,0.01,1.1262394195888755e-11
0,100,4,512,1,1,0,42863.885307,0.0,1.40078729650387e-11
1,100,4,512,1,1,0,42863.885307,0.0,9.412196423805711e-12
0,100,4,512,2,1,0,43973.162299,0.0,1.5775391656398523e-11
1,100,4,512,2,1,0,43973.162299,0.0,1.0989262453793348e-11
0,100,8,512,2,1,0,70390.006926,0.0,1.4558871941182926e-11
1,100,8,512,2,1,0,70390.006926,0.0,9.027213870295183e-12
0,100,8,512,4,1,0,72426.391909,0.0,1.5968732932823596e-11
1,100,8,512,4,1,0,72426.391909,0.0,1.0178181321682142e-11
0,100,16,512,4,1,0,127695.319067,0.0,1.8487553828379373e-11
1,100,16,512,4,1,0,127695.319067,0.0,9.658124146623257e-12
0,100,16,512,8,1,0,131972.956029,0.0,1.9777868948540615e-11
1,100,16,512,8,1,0,131972.956029,0.0,1.0962372523736962e-11
0,100,32,512,8,1,0,241833.848278,0.0,2.6865770445055508e-11
1,100,32,512,8,1,0,241833.848278,0.0,1.1493532946328547e-11
